,cust_number,buisness_year,doc_id,converted_usd,business_code_enc,day_of_postingdate,month_of_postingdate,year_of_postingdate,day_of_dueindate,month_of_dueindate,year_of_dueindate,day_of_baselinecreatedate,month_of_baselinecreatedate,year_of_baselinecreatedate,cust_payment_terms_enc,name_customer_enc,due_in_date,clear_date,Aging Bucket
13,200769623,2020,1930635649.0,537.4459999999999,66,12,3,2020,27,3,2020,12,3,2020,32,2996,2020-03-27,2020-03-30,0-15
14,140105785,2020,2960624627.0,2829.6,66,27,3,2020,10,4,2020,31,3,2020,5,2497,2020-04-10,2020-04-25,16-30
15,200769623,2020,1930577078.0,10160.276,66,28,2,2020,14,3,2020,28,2,2020,32,2995,2020-03-14,2020-03-16,0-15
16,200769623,2020,1930774741.0,38780.217,66,10,4,2020,25,4,2020,10,4,2020,32,3000,2020-04-25,2020-04-26,0-15
17,200772670,2020,1930765053.0,122336.45199999998,66,9,4,2020,24,4,2020,9,4,2020,46,187,2020-04-24,2020-04-26,0-15
18,200900909,2020,1930645969.0,22058.925,66,13,3,2020,14,4,2020,13,3,2020,11,2767,2020-04-14,2020-04-20,0-15
19,200769623,2020,1930718081.0,13791.085,66,30,3,2020,14,4,2020,30,3,2020,32,3003,2020-04-14,2020-04-16,0-15
20,200726979,2020,1930788667.0,92.904,66,16,4,2020,1,5,2020,16,4,2020,18,333,2020-05-01,2020-04-25,
21,200769623,2020,1930709919.0,784.8050000000001,66,29,3,2020,13,4,2020,29,3,2020,32,3002,2020-04-13,2020-04-15,0-15
22,200769623,2020,1930752568.0,7976.388,66,6,4,2020,21,4,2020,6,4,2020,32,3002,2020-04-21,2020-04-23,0-15
23,140105847,2020,2960627274.0,3685.2,66,8,4,2020,18,4,2020,8,4,2020,5,1138,2020-04-18,2020-04-24,0-15
24,200744019,2020,1930648342.0,36486.31,66,15,3,2020,30,3,2020,15,3,2020,18,2793,2020-03-30,2020-04-06,0-15
25,200769623,2020,1930632791.0,10495.806999999999,66,10,3,2020,25,3,2020,10,3,2020,32,3003,2020-03-25,2020-03-26,0-15
26,200769623,2020,1930617194.0,25.242,66,6,3,2020,21,3,2020,6,3,2020,32,3002,2020-03-21,2020-03-16,
27,200418007,2020,1930752243.0,18085.333,66,6,4,2020,21,4,2020,6,4,2020,18,95,2020-04-21,2020-04-17,
28,200739006,2020,1930768064.0,3016.335,66,15,4,2020,30,4,2020,15,4,2020,18,53,2020-04-30,2020-04-29,
29,100031704,2020,1930789873.0,49126.749,66,15,4,2020,30,4,2020,15,4,2020,18,747,2020-04-30,2020-05-03,0-15
30,200769623,2020,1930705172.0,2382.66,66,28,3,2020,12,4,2020,28,3,2020,32,3004,2020-04-12,2020-04-14,0-15
31,200744019,2020,1930620634.0,7465.871,66,10,3,2020,14,5,2020,10,3,2020,31,2796,2020-05-14,2020-05-23,0-15
32,200769623,2020,1930676002.0,5096.357,66,21,3,2020,5,4,2020,21,3,2020,32,2995,2020-04-05,2020-04-07,0-15
33,200726979,2020,1930585378.0,9577.19,66,2,3,2020,17,3,2020,2,3,2020,18,328,2020-03-17,2020-03-18,0-15
34,200706844,2020,1930773419.0,23763.495,66,7,4,2020,22,4,2020,7,4,2020,18,3061,2020-04-22,2020-04-28,0-15
35,200793830,2020,1930767747.0,3175.998,66,8,4,2020,23,4,2020,8,4,2020,18,1718,2020-04-23,2020-04-26,0-15
36,200769623,2020,1930750455.0,10049.171999999999,66,6,4,2020,21,4,2020,6,4,2020,32,3000,2020-04-21,2020-04-23,0-15
37,200769623,2020,1930738904.0,257.397,66,3,4,2020,18,4,2020,3,4,2020,32,3003,2020-04-18,2020-04-10,
38,200769623,2020,1930862467.0,39399.33899999999,66,6,5,2020,21,5,2020,6,5,2020,32,3004,2020-05-21,2020-05-21,0-15
39,200769623,2020,1930582162.0,35345.702,66,29,2,2020,15,3,2020,29,2,2020,32,3003,2020-03-15,2020-03-15,0-15
40,200769623,2020,1930802490.0,10842.600999999999,66,21,4,2020,6,5,2020,21,4,2020,32,3002,2020-05-06,2020-05-08,0-15
41,140104423,2020,2960617050.0,133113.36,66,27,2,2020,11,3,2020,1,3,2020,5,1900,2020-03-11,2020-03-15,0-15
42,200726979,2020,1930801417.0,252.23099999999997,66,19,4,2020,4,5,2020,19,4,2020,18,332,2020-05-04,2020-04-27,
43,200743996,2020,1930660304.0,2678.221,66,16,3,2020,20,5,2020,16,3,2020,31,2622,2020-05-20,2020-05-18,
44,200752302,2020,1930733767.0,67671.83499999999,66,2,4,2020,17,4,2020,2,4,2020,18,1589,2020-04-17,2020-04-20,0-15
45,140105686,2020,2960633120.0,61757.57,66,6,5,2020,18,5,2020,8,5,2020,5,2714,2020-05-18,2020-05-23,0-15
46,200711029,2020,1930742932.0,10067.553999999998,66,3,4,2020,18,4,2020,3,4,2020,18,3027,2020-04-18,2020-04-24,0-15
47,2001,2020,2960622220.0,25468.67,66,20,3,2020,27,4,2020,23,3,2020,30,1522,2020-04-27,2020-05-06,0-15
48,200769623,2020,1930804924.0,24856.964999999997,66,21,4,2020,6,5,2020,21,4,2020,32,3002,2020-05-06,2020-05-07,0-15
49,200769623,2020,1930746955.0,9458.827,66,5,4,2020,20,4,2020,5,4,2020,32,2996,2020-04-20,2020-04-22,0-15
50,200772670,2020,1930698156.0,17094.931,66,24,3,2020,8,4,2020,24,3,2020,46,186,2020-04-08,2020-04-09,0-15
51,200769623,2020,1930801200.0,7852.130999999999,66,19,4,2020,4,5,2020,19,4,2020,32,2997,2020-05-04,2020-05-05,0-15
52,200769623,2020,1930776682.0,8787.891,66,13,4,2020,28,4,2020,13,4,2020,32,3003,2020-04-28,2020-04-29,0-15
53,200720238,2020,1930858727.0,88843.321,66,6,5,2020,21,5,2020,6,5,2020,18,2919,2020-05-21,2020-05-25,0-15
54,140106408,2020,2960631200.0,40768.12,66,25,4,2020,5,5,2020,25,4,2020,5,2990,2020-05-05,2020-05-15,0-15
55,200769623,2020,1930729999.0,17384.43,66,1,4,2020,16,4,2020,1,4,2020,32,2997,2020-04-16,2020-04-16,0-15
56,200769623,2020,1930653060.0,35141.981,66,15,3,2020,30,3,2020,15,3,2020,32,3005,2020-03-30,2020-03-29,
57,200769623,2020,1930715979.0,5809.79,66,1,4,2020,16,4,2020,1,4,2020,32,3005,2020-04-16,2020-04-17,0-15
58,200799367,2020,1930673430.0,36121.490999999995,66,24,3,2020,8,4,2020,24,3,2020,18,1833,2020-04-08,2020-04-12,0-15
59,200759878,2020,1930783249.0,13230.693000000001,66,14,4,2020,29,4,2020,14,4,2020,32,2387,2020-04-29,2020-05-01,0-15
60,200794332,2020,1930638145.0,34627.38999999999,66,14,3,2020,29,3,2020,14,3,2020,20,628,2020-03-29,2020-04-01,0-15
61,200515231,2020,1930768145.0,7131.361999999999,66,9,4,2020,24,4,2020,9,4,2020,18,2911,2020-04-24,2020-04-30,0-15
62,200782669,2020,1930636977.0,166.18,66,13,3,2020,28,3,2020,13,3,2020,18,2699,2020-03-28,2020-03-26,
63,200769623,2020,1930882979.0,8072.987999999999,66,12,5,2020,27,5,2020,12,5,2020,32,3000,2020-05-27,2020-05-28,0-15
64,200769623,2020,1930692833.0,14012.543999999998,66,24,3,2020,8,4,2020,24,3,2020,32,2995,2020-04-08,2020-04-10,0-15
65,200331749,2020,1930579080.0,3724.595,66,28,2,2020,14,3,2020,28,2,2020,18,2712,2020-03-14,2020-03-21,0-15
66,200772670,2020,1930819529.0,21630.581,66,23,4,2020,8,5,2020,23,4,2020,46,184,2020-05-08,2020-05-09,0-15
67,200772670,2020,1930736164.0,46090.28199999999,66,2,4,2020,17,4,2020,2,4,2020,46,193,2020-04-17,2020-04-20,0-15
68,200706844,2020,1930599854.0,251.60799999999998,66,4,3,2020,19,3,2020,4,3,2020,18,3065,2020-03-19,2020-03-16,
69,100043975,2020,1930740345.0,999.1519999999998,66,3,4,2020,18,4,2020,3,4,2020,18,2919,2020-04-18,2020-05-02,0-15
70,200762301,2020,1930592552.0,69364.197,66,4,3,2020,19,3,2020,4,3,2020,24,448,2020-03-19,2020-03-22,0-15
71,200148860,2020,1930732920.0,4580.407999999999,66,3,4,2020,7,6,2020,3,4,2020,31,810,2020-06-07,2020-06-06,
72,100027744,2020,2960635652.0,7035.0,66,19,5,2020,19,5,2020,19,5,2020,7,2053,2020-05-19,2020-05-21,0-15
73,100031704,2020,1930585468.0,74475.92599999999,66,1,3,2020,16,3,2020,1,3,2020,18,748,2020-03-16,2020-03-16,0-15
74,200799420,2020,1930703225.0,560.77,66,25,3,2020,9,4,2020,25,3,2020,18,2919,2020-04-09,2020-04-21,0-15
75,200974851,2020,1930706997.0,2496.683,66,26,3,2020,10,4,2020,26,3,2020,18,2321,2020-04-10,2020-04-12,0-15
76,200769623,2020,1930830709.0,6219.898999999999,66,28,4,2020,13,5,2020,28,4,2020,32,3001,2020-05-13,2020-05-15,0-15
77,200793568,2020,1930630388.0,11125.288999999999,66,10,3,2020,25,3,2020,10,3,2020,18,2659,2020-03-25,2020-03-29,0-15
78,200759878,2020,1930609945.0,49126.56,66,6,3,2020,21,3,2020,6,3,2020,32,2390,2020-03-21,2020-03-18,
79,200712187,2020,1930806222.0,83569.052,66,20,4,2020,5,5,2020,20,4,2020,18,2604,2020-05-05,2020-05-08,0-15
80,100047532,2020,1930592834.0,8296.778,66,4,3,2020,19,3,2020,4,3,2020,18,2919,2020-03-19,2020-03-29,0-15
81,200794332,2020,1930562584.0,7857.794,66,28,2,2020,19,3,2020,28,2,2020,15,627,2020-03-19,2020-03-20,0-15
82,200148860,2020,1930699340.0,3819.725,66,25,3,2020,29,5,2020,25,3,2020,31,810,2020-05-29,2020-05-29,0-15
83,200794332,2020,1930862420.0,57050.602,66,8,5,2020,23,5,2020,8,5,2020,20,632,2020-05-23,2020-05-24,0-15
84,200555117,2020,1930709963.0,524.3979999999999,66,27,3,2020,11,4,2020,27,3,2020,18,394,2020-04-11,2020-04-13,0-15
85,200769623,2020,1930878284.0,1553.9229999999998,66,9,5,2020,24,5,2020,9,5,2020,32,3001,2020-05-24,2020-05-25,0-15
86,200772670,2020,1930683241.0,10842.846,66,21,3,2020,5,4,2020,21,3,2020,46,186,2020-04-05,2020-04-07,0-15
87,200707822,2020,1930857983.0,88275.537,66,4,5,2020,19,5,2020,4,5,2020,18,2226,2020-05-19,2020-05-15,
88,140104392,2020,2960619205.0,3612.39,66,6,3,2020,20,3,2020,10,3,2020,5,2919,2020-03-20,2020-03-30,0-15
89,200769623,2020,1930831780.0,8081.765999999999,66,28,4,2020,13,5,2020,28,4,2020,32,2998,2020-05-13,2020-05-15,0-15
90,200759878,2020,1930717567.0,33352.598999999995,66,31,3,2020,15,4,2020,31,3,2020,32,2393,2020-04-15,2020-04-12,
91,200705742,2020,1930581678.0,4152.757,66,28,2,2020,14,3,2020,28,2,2020,18,843,2020-03-14,2020-03-09,
92,200793568,2020,1930690537.0,1145.032,66,23,3,2020,7,4,2020,23,3,2020,18,2661,2020-04-07,2020-04-12,0-15
93,200726979,2020,1930646128.0,900.4099999999999,66,12,3,2020,27,3,2020,12,3,2020,18,324,2020-03-27,2020-03-28,0-15
94,200704858,2020,1930762384.0,69697.894,66,9,4,2020,24,4,2020,9,4,2020,18,2969,2020-04-24,2020-04-28,0-15
95,200780383,2020,1930665025.0,2528.841,66,18,3,2020,2,4,2020,18,3,2020,18,1870,2020-04-02,2020-04-05,0-15
96,200762301,2020,1930778021.0,71593.22799999999,66,12,4,2020,27,4,2020,12,4,2020,24,443,2020-04-27,2020-04-29,0-15
97,140106271,2020,2960626604.0,12307.79,66,3,4,2020,17,4,2020,7,4,2020,5,1681,2020-04-17,2020-04-24,0-15
98,140104423,2020,2960628851.0,64370.78,66,17,4,2020,1,5,2020,21,4,2020,5,1903,2020-05-01,2020-05-06,0-15
99,200741174,2020,1930657267.0,4037.4809999999998,66,16,3,2020,31,3,2020,16,3,2020,18,1701,2020-03-31,2020-04-04,0-15
100,100030194,2020,2960622411.0,14073.81,66,18,3,2020,30,3,2020,20,3,2020,5,109,2020-03-30,2020-04-09,0-15
101,200769623,2020,1930720012.0,29665.880999999998,66,30,3,2020,14,4,2020,30,3,2020,32,3004,2020-04-14,2020-04-17,0-15
102,200592182,2020,1930822583.0,1233.2879999999998,66,24,4,2020,9,5,2020,16,4,2020,36,735,2020-05-09,2020-05-08,
103,200743996,2020,1930686889.0,66228.421,66,22,3,2020,6,4,2020,22,3,2020,18,2617,2020-04-06,2020-04-09,0-15
104,200769623,2020,1930787980.0,15558.444999999998,66,15,4,2020,30,4,2020,15,4,2020,32,3001,2020-04-30,2020-05-01,0-15
105,200749782,2020,1930822131.0,61951.40699999999,66,25,4,2020,10,5,2020,25,4,2020,18,1559,2020-05-10,2020-05-14,0-15
106,200744019,2020,1930641073.0,1387.4419999999998,66,13,3,2020,17,5,2020,13,3,2020,31,2791,2020-05-17,2020-05-22,0-15
107,200769623,2020,1930804577.0,1628.2559999999999,66,21,4,2020,6,5,2020,21,4,2020,32,3000,2020-05-06,2020-05-08,0-15
108,200705742,2020,1930592413.0,6875.665999999999,66,2,3,2020,17,3,2020,2,3,2020,18,848,2020-03-17,2020-03-13,
109,200744019,2020,1930857489.0,20714.693999999996,66,5,5,2020,20,5,2020,5,5,2020,18,2797,2020-05-20,2020-05-28,0-15
110,200772670,2020,1930739252.0,33532.632,66,3,4,2020,18,4,2020,3,4,2020,46,184,2020-04-18,2020-04-21,0-15
111,200769623,2020,1930692953.0,1329.23,66,24,3,2020,8,4,2020,24,3,2020,32,2999,2020-04-08,2020-04-09,0-15
112,200900909,2020,1930741081.0,5266.919,66,3,4,2020,18,4,2020,3,4,2020,18,2765,2020-04-18,2020-04-23,0-15
113,200424504,2020,1930830032.0,1699.628,66,28,4,2020,15,4,2020,15,4,2020,66,1694,2020-04-15,2020-05-23,31-45
114,100031704,2020,1930794735.0,823.6129999999999,66,16,4,2020,20,6,2020,16,4,2020,31,755,2020-06-20,2020-06-30,0-15
115,200764795,2020,1930637455.0,7684.956999999999,66,18,3,2020,19,4,2020,18,3,2020,11,2729,2020-04-19,2020-04-23,0-15
116,200337148,2020,1930587342.0,31589.452999999998,66,2,3,2020,17,3,2020,2,3,2020,18,572,2020-03-17,2020-03-20,0-15
117,200416837,2020,1930599382.0,278.712,66,4,3,2020,24,3,2020,1,3,2020,36,725,2020-03-24,2020-03-16,
118,200769623,2020,1930623646.0,41108.346999999994,66,9,3,2020,24,3,2020,9,3,2020,32,3002,2020-03-24,2020-03-25,0-15
119,200726979,2020,1930645815.0,411.943,66,12,3,2020,27,3,2020,12,3,2020,18,325,2020-03-27,2020-03-21,
120,200721222,2020,1930800642.0,17979.549,66,20,4,2020,5,5,2020,20,4,2020,18,1118,2020-05-05,2020-05-07,0-15
121,200772595,2020,1930729101.0,7014.097999999999,66,2,4,2020,17,4,2020,2,4,2020,18,2401,2020-04-17,2020-04-20,0-15
122,200820380,2020,1930716191.0,33616.079,66,30,3,2020,14,4,2020,30,3,2020,18,2544,2020-04-14,2020-04-11,
123,200793568,2020,1930779652.0,25636.121,66,14,4,2020,29,4,2020,14,4,2020,18,2656,2020-04-29,2020-05-02,0-15
124,200706844,2020,1930732708.0,15851.170999999998,66,1,4,2020,16,4,2020,1,4,2020,18,3063,2020-04-16,2020-04-19,0-15
125,100043975,2020,1930586661.0,5048.4,66,2,3,2020,17,3,2020,2,3,2020,18,2919,2020-03-17,2020-04-02,16-30
126,200769623,2020,1930692548.0,11058.061,66,25,3,2020,9,4,2020,25,3,2020,32,3002,2020-04-09,2020-04-10,0-15
127,200762301,2020,1930630515.0,1412.915,66,11,3,2020,26,3,2020,11,3,2020,24,448,2020-03-26,2020-03-28,0-15
128,200769623,2020,1930593446.0,10294.885999999999,66,4,3,2020,19,3,2020,4,3,2020,32,3000,2020-03-19,2020-03-20,0-15
129,200729290,2020,1930599215.0,80845.898,66,4,3,2020,19,3,2020,4,3,2020,18,1580,2020-03-19,2020-03-23,0-15
130,200769623,2020,1930827122.0,1329.23,66,27,4,2020,12,5,2020,27,4,2020,32,3005,2020-05-12,2020-05-13,0-15
131,200769623,2020,1930750644.0,26379.052,66,6,4,2020,21,4,2020,6,4,2020,32,3005,2020-04-21,2020-04-23,0-15
132,200705372,2020,1930637990.0,13972.734999999999,66,13,3,2020,28,3,2020,13,3,2020,18,1016,2020-03-28,2020-03-30,0-15
133,200769623,2020,1930675431.0,8278.262999999999,66,22,3,2020,6,4,2020,22,3,2020,32,3002,2020-04-06,2020-04-08,0-15
134,200742791,2020,1930603823.0,17390.435999999998,66,10,3,2020,25,3,2020,10,3,2020,18,2249,2020-03-25,2020-03-25,0-15
135,200743996,2020,1930718352.0,22556.835,66,30,3,2020,14,4,2020,30,3,2020,18,2619,2020-04-14,2020-04-16,0-15
136,200769623,2020,1930752522.0,6955.941999999999,66,6,4,2020,21,4,2020,6,4,2020,32,3005,2020-04-21,2020-04-23,0-15
137,200759878,2020,1930752430.0,8692.229,66,8,4,2020,23,4,2020,8,4,2020,32,2389,2020-04-23,2020-04-25,0-15
138,200762301,2020,1930584581.0,3011.0989999999997,66,2,3,2020,17,3,2020,2,3,2020,24,452,2020-03-17,2020-03-18,0-15
139,200769623,2020,1930885637.0,15784.881,66,12,5,2020,27,5,2020,12,5,2020,32,2995,2020-05-27,2020-05-28,0-15
140,100043936,2020,1930627707.0,12701.632999999998,66,10,3,2020,20,3,2020,10,3,2020,9,2919,2020-03-20,2020-04-07,16-30
141,200744019,2020,1930748869.0,68443.2,66,5,4,2020,20,4,2020,5,4,2020,18,2790,2020-04-20,2020-04-25,0-15
142,200794332,2020,1930720706.0,22119.426,66,2,4,2020,17,4,2020,2,4,2020,20,625,2020-04-17,2020-04-17,0-15
143,200740393,2020,1930585380.0,36851.793999999994,66,3,3,2020,18,3,2020,3,3,2020,18,2919,2020-03-18,2020-03-21,0-15
144,200769623,2020,1930671465.0,14779.743999999997,66,20,3,2020,4,4,2020,20,3,2020,32,3003,2020-04-04,2020-04-05,0-15
145,200762301,2020,1930577119.0,96438.02,66,27,2,2020,13,3,2020,27,2,2020,24,444,2020-03-13,2020-03-15,0-15
146,200759878,2020,1930748365.0,9484.062,66,5,4,2020,20,4,2020,5,4,2020,32,2391,2020-04-20,2020-04-22,0-15
147,200759878,2020,1930825574.0,25128.936,66,27,4,2020,12,5,2020,27,4,2020,32,2389,2020-05-12,2020-05-12,0-15
148,200704858,2020,1930655118.0,76474.041,66,16,3,2020,31,3,2020,16,3,2020,18,2973,2020-03-31,2020-04-03,0-15
149,200762301,2020,1930654407.0,5225.57,66,16,3,2020,31,3,2020,16,3,2020,24,447,2020-03-31,2020-04-02,0-15
150,200803720,2020,1930872721.0,3310.426,66,7,5,2020,11,5,2020,1,5,2020,34,722,2020-05-11,2020-05-08,
151,200078795,2020,1930861108.0,988.5819999999999,66,5,5,2020,20,5,2020,5,5,2020,18,1211,2020-05-20,2020-05-19,
152,200519201,2020,1930709582.0,10834.053999999998,66,28,3,2020,12,4,2020,28,3,2020,18,1576,2020-04-12,2020-04-15,0-15
153,200744019,2020,1930753198.0,13436.892,66,7,4,2020,22,4,2020,7,4,2020,18,2791,2020-04-22,2020-04-28,0-15
154,200786288,2020,1930759958.0,46361.335999999996,66,8,4,2020,23,4,2020,8,4,2020,24,915,2020-04-23,2020-04-25,0-15
155,200418007,2020,1930732102.0,33175.135,66,2,4,2020,17,4,2020,2,4,2020,18,97,2020-04-17,2020-04-17,0-15
156,200466603,2020,1930664246.0,99912.45599999999,66,18,3,2020,2,4,2020,18,3,2020,18,2543,2020-04-02,2020-04-03,0-15
157,140106408,2020,2960622798.0,8273.55,66,23,3,2020,2,4,2020,23,3,2020,5,2985,2020-04-02,2020-04-13,0-15
158,200762301,2020,1930721389.0,5560.191,66,1,4,2020,5,6,2020,1,4,2020,31,448,2020-06-05,2020-06-07,0-15
159,200761734,2020,1930632938.0,64229.585,66,10,3,2020,25,3,2020,10,3,2020,18,1192,2020-03-25,2020-03-27,0-15
160,200769623,2020,1930611981.0,16997.694,66,8,3,2020,23,3,2020,8,3,2020,32,3000,2020-03-23,2020-03-24,0-15
161,200769623,2020,1930793187.0,7632.5199999999995,66,18,4,2020,3,5,2020,18,4,2020,32,3002,2020-05-03,2020-05-05,0-15
162,200769623,2020,1930692727.0,36061.388999999996,66,24,3,2020,8,4,2020,24,3,2020,32,3005,2020-04-08,2020-04-07,
163,200744019,2020,1930813045.0,4121.047,66,21,4,2020,6,5,2020,21,4,2020,18,2798,2020-05-06,2020-05-15,0-15
164,200726979,2020,1930643416.0,9904.314,66,12,3,2020,27,3,2020,12,3,2020,18,332,2020-03-27,2020-03-27,0-15
165,200706844,2020,1930760026.0,27233.85,66,31,3,2020,15,4,2020,31,3,2020,18,3062,2020-04-15,2020-04-23,0-15
166,200418007,2020,1930650673.0,707.8679999999999,66,14,3,2020,18,5,2020,14,3,2020,31,99,2020-05-18,2020-05-20,0-15
167,200799367,2020,1930720975.0,87223.80799999999,66,31,3,2020,15,4,2020,31,3,2020,18,1835,2020-04-15,2020-04-21,0-15
168,200772595,2020,1930705040.0,22427.538,66,25,3,2020,9,4,2020,25,3,2020,18,2401,2020-04-09,2020-04-09,0-15
169,200759878,2020,1930700242.0,35038.373999999996,66,27,3,2020,11,4,2020,27,3,2020,32,2392,2020-04-11,2020-04-05,
170,2013,2020,1930570370.0,26046.748,66,28,2,2020,28,2,2020,28,2,2020,65,1535,2020-02-28,2020-04-09,31-45
171,200726979,2020,1930629390.0,327.404,66,9,3,2020,24,3,2020,9,3,2020,18,330,2020-03-24,2020-03-18,
172,200526831,2020,1930666168.0,93866.563,66,19,3,2020,3,4,2020,19,3,2020,18,2122,2020-04-03,2020-04-07,0-15
173,200769623,2020,1930845835.0,205.058,66,2,5,2020,17,5,2020,2,5,2020,32,3002,2020-05-17,2020-05-09,
174,100031704,2020,1930844129.0,64590.183,66,30,4,2020,15,5,2020,30,4,2020,18,749,2020-05-15,2020-05-19,0-15
175,200769623,2020,1930662779.0,24516.429,66,18,3,2020,2,4,2020,18,3,2020,32,3001,2020-04-02,2020-04-03,0-15
176,200020431,2020,1930599834.0,3186.1059999999998,66,4,3,2020,24,3,2020,1,3,2020,36,726,2020-03-24,2020-03-22,
177,200726979,2020,1930730591.0,183.28799999999998,66,1,4,2020,16,4,2020,1,4,2020,18,324,2020-04-16,2020-04-10,
178,200769623,2020,1930652678.0,23686.362,66,15,3,2020,30,3,2020,15,3,2020,32,3000,2020-03-30,2020-04-01,0-15
179,200729942,2020,1930798198.0,8187.571,66,17,4,2020,2,5,2020,17,4,2020,18,2385,2020-05-02,2020-05-04,0-15
180,200705742,2020,1930810367.0,5680.527999999999,66,23,4,2020,8,5,2020,23,4,2020,18,846,2020-05-08,2020-05-03,
181,200777735,2020,1930670844.0,106447.453,66,18,3,2020,2,4,2020,18,3,2020,18,1974,2020-04-02,2020-04-01,
182,200020431,2020,1930617742.0,2182.488,66,7,3,2020,24,3,2020,1,3,2020,36,728,2020-03-24,2020-03-22,
183,200769623,2020,1930748572.0,1328.74,66,6,4,2020,21,4,2020,6,4,2020,32,2998,2020-04-21,2020-04-22,0-15
184,200759878,2020,1930655535.0,11942.118999999999,66,16,3,2020,31,3,2020,16,3,2020,32,2393,2020-03-31,2020-04-02,0-15
185,100004536,2020,1930765834.0,2621.843,66,14,4,2020,29,4,2020,14,4,2020,18,243,2020-04-29,2020-04-23,
186,200769623,2020,1930882579.0,6414.338,66,11,5,2020,26,5,2020,11,5,2020,32,2999,2020-05-26,2020-05-27,0-15
187,140104409,2020,2960624271.0,238420.36,66,26,3,2020,7,4,2020,28,3,2020,5,1673,2020-04-07,2020-04-18,0-15
188,200744019,2020,1930652649.0,828.415,66,16,3,2020,31,3,2020,16,3,2020,18,2790,2020-03-31,2020-04-06,0-15
189,200769623,2020,1930803693.0,37701.979,66,23,4,2020,8,5,2020,23,4,2020,32,3003,2020-05-08,2020-05-08,0-15
190,140104423,2020,2960624752.0,45750.52,66,1,4,2020,11,4,2020,1,4,2020,5,1896,2020-04-11,2020-04-14,0-15
191,200707822,2020,1930801025.0,42976.164,66,18,4,2020,3,5,2020,18,4,2020,18,2227,2020-05-03,2020-05-01,
192,200782669,2020,1930617473.0,16309.006,66,9,3,2020,24,3,2020,9,3,2020,18,2704,2020-03-24,2020-03-26,0-15
193,200705742,2020,1930660872.0,2829.3929999999996,66,17,3,2020,20,4,2020,17,3,2020,19,842,2020-04-20,2020-04-15,
194,200769623,2020,1930676006.0,10266.396,66,21,3,2020,5,4,2020,21,3,2020,32,2998,2020-04-05,2020-04-07,0-15
195,200780383,2020,1930860645.0,75999.091,66,6,5,2020,21,5,2020,6,5,2020,18,1869,2020-05-21,2020-05-25,0-15
196,100031704,2020,1930796146.0,11337.661999999998,66,17,4,2020,21,6,2020,17,4,2020,31,755,2020-06-21,2020-07-01,0-15
197,200561861,2020,1930774237.0,16413.774999999998,66,10,4,2020,25,4,2020,10,4,2020,18,560,2020-04-25,2020-04-26,0-15
198,200761734,2020,1930701257.0,58167.045999999995,66,26,3,2020,10,4,2020,26,3,2020,18,1199,2020-04-10,2020-04-10,0-15
199,200769623,2020,1930724889.0,4061.169,66,1,4,2020,16,4,2020,1,4,2020,32,2997,2020-04-16,2020-04-16,0-15
200,200769623,2020,1930677295.0,8060.9619999999995,66,22,3,2020,6,4,2020,22,3,2020,32,3005,2020-04-06,2020-04-09,0-15
201,200900909,2020,1930623159.0,29852.907,66,9,3,2020,24,3,2020,9,3,2020,18,2765,2020-03-24,2020-03-30,0-15
202,200726979,2020,1930665005.0,567.672,66,18,3,2020,2,4,2020,18,3,2020,18,328,2020-04-02,2020-04-04,0-15
